source,target,weight
2011:C6,2012:C3,1.6997879
2011:C6,2012:C31,0.720867
2011:C6,2012:C41,0.6823401
2011:C6,2012:C5,0.67040396
2011:C6,2012:C6,1.0
2011:C6,2012:C64,0.68475515
2011:C6,2012:C72,0.7111479
2011:C6,2012:C75,0.7146312
2011:C6,2012:C78,0.74106836
2011:C6,2012:C82,0.64075804
2011:C69,2012:C0,2.0025171
2011:C69,2012:C1,2.30944386
2011:C69,2012:C12,0.8768927
2011:C69,2012:C2,1.5629543099999998
2011:C69,2012:C3,1.56037826
2011:C69,2012:C31,1.0000001
2011:C69,2012:C6,0.720867
2011:C7,2012:C0,4.98142852
2011:C7,2012:C2,0.7556411
2011:C7,2012:C25,0.64961153
2011:C7,2012:C3,0.6488048
2011:C7,2012:C41,0.74803877
2011:C7,2012:C5,0.64516103
2011:C7,2012:C6,1.268462
2011:C7,2012:C64,0.8070814
2011:C7,2012:C78,0.6189046
2011:C74,2012:C0,1.37683365
2011:C74,2012:C1,2.43141281
2011:C74,2012:C12,0.68463403
2011:C74,2012:C2,1.4474157
2011:C74,2012:C3,1.4958304199999999
2011:C74,2012:C31,0.76299417
2011:C74,2012:C6,0.7039194
2011:C74,2012:C82,0.6416426
2012:C0,2013:C0,143.81501926
2012:C0,2013:C1,4.59062217
2012:C0,2013:C11,8.76143271
2012:C0,2013:C2,26.21848908
2012:C0,2013:C4,17.60272243
2012:C0,2013:C42,5.12353122
2012:C0,2013:C5,8.88675104
2012:C0,2013:C52,4.64672576
2012:C0,2013:C63,2.1771929
2012:C0,2013:C67,7.55018289
2012:C0,2013:C7,4.98142818
2012:C0,2013:C8,1.95799367
2012:C0,2013:C9,1.99429863
2012:C1,2013:C0,7.6739856
2012:C1,2013:C1,1.54168469
2012:C1,2013:C2,4.04087571
2012:C1,2013:C4,5.34100277
2012:C1,2013:C52,1.36233592
2012:C1,2013:C63,1.6049687000000001
2012:C1,2013:C8,2.28110387
2012:C1,2013:C9,2.4391708
2012:C12,2013:C0,2.675686
2012:C12,2013:C2,1.3639409
2012:C12,2013:C4,1.56152673
2012:C12,2013:C63,0.667775
2012:C12,2013:C8,0.81162566
2012:C12,2013:C9,0.8807358
2012:C2,2013:C0,26.74574012
2012:C2,2013:C1,1.33948332
2012:C2,2013:C11,1.4599099
2012:C2,2013:C2,7.26707675
2012:C2,2013:C4,5.3285050599999995
2012:C2,2013:C42,0.74948394
2012:C2,2013:C5,2.11599657
2012:C2,2013:C52,0.6877061
2012:C2,2013:C67,1.41598529
2012:C2,2013:C7,0.7556411
2012:C2,2013:C8,1.49172288
2012:C2,2013:C9,1.4660229
2012:C25,2013:C0,12.42375112
2012:C25,2013:C11,1.0
2012:C25,2013:C2,2.1946859400000003
2012:C25,2013:C4,1.57670939
2012:C25,2013:C42,0.68423444
2012:C25,2013:C5,0.72825116
2012:C25,2013:C67,0.7784372
2012:C25,2013:C7,0.6496115
2012:C3,2013:C0,18.67899209
2012:C3,2013:C1,0.7337831
2012:C3,2013:C11,0.73703796
2012:C3,2013:C2,3.87466939
2012:C3,2013:C4,4.39379173
2012:C3,2013:C42,0.63157296
2012:C3,2013:C5,0.6876556
2012:C3,2013:C52,1.3357601
2012:C3,2013:C63,0.9999999
2012:C3,2013:C67,0.6758516
2012:C3,2013:C7,0.6488048
2012:C3,2013:C8,1.58170545
2012:C3,2013:C9,2.2154753
2012:C31,2013:C0,3.5615408
2012:C31,2013:C2,1.56295436
2012:C31,2013:C4,1.76299417
2012:C31,2013:C8,0.88458514
2012:C31,2013:C9,0.9300589
2012:C41,2013:C0,10.47797137
2012:C41,2013:C11,0.73477614
2012:C41,2013:C2,2.4003878
2012:C41,2013:C4,1.2889442
2012:C41,2013:C5,1.32720853
2012:C41,2013:C67,0.81418484
2012:C41,2013:C7,0.74803877
2012:C5,2013:C0,10.27690537
2012:C5,2013:C1,0.60076094
2012:C5,2013:C11,0.7282511
2012:C5,2013:C2,1.501809
2012:C5,2013:C4,1.38034904
2012:C5,2013:C5,0.99999994
2012:C5,2013:C52,0.68671626
2012:C5,2013:C67,0.70137227
2012:C5,2013:C7,0.64516103
2012:C6,2013:C0,20.25736992
2012:C6,2013:C1,0.6774027
2012:C6,2013:C11,1.4704971900000001
2012:C6,2013:C2,3.80606886
2012:C6,2013:C4,3.5309649
2012:C6,2013:C42,0.7505319
2012:C6,2013:C5,1.28183416
2012:C6,2013:C52,0.6148343
2012:C6,2013:C67,1.32017554
2012:C6,2013:C7,1.268462
2012:C6,2013:C8,0.7311424
2012:C6,2013:C9,0.6682739
2012:C64,2013:C0,10.13883582
2012:C64,2013:C11,0.77843714
2012:C64,2013:C2,2.2301701
2012:C64,2013:C4,1.3824645599999998
2012:C64,2013:C42,0.6010073
2012:C64,2013:C5,1.3278048
2012:C64,2013:C67,1.0
2012:C64,2013:C7,0.80708134
2012:C72,2013:C0,12.42734777
2012:C72,2013:C11,0.7591572
2012:C72,2013:C2,2.0542769499999998
2012:C72,2013:C4,0.86345005
2012:C72,2013:C42,0.75196147
2012:C72,2013:C67,0.65204597
2012:C75,2013:C0,10.75117721
2012:C75,2013:C11,0.7959138
2012:C75,2013:C2,1.4223626600000001
2012:C75,2013:C4,0.8678709
2012:C75,2013:C42,0.6945992
2012:C75,2013:C5,0.62192756
2012:C75,2013:C67,0.6468624
2012:C78,2013:C0,13.64613071
2012:C78,2013:C11,0.82005686
2012:C78,2013:C2,1.5506749599999998
2012:C78,2013:C4,1.4876683000000002
2012:C78,2013:C42,0.70469767
2012:C78,2013:C5,0.84418416
2012:C78,2013:C67,0.72232914
2012:C78,2013:C7,0.6189046
2012:C82,2013:C0,8.20355924
